SIREN;NIC;L1_NORMALISEE;CODPOS
007172109;00048;MADAME FRANCINE LE COQ;22360
007173248;00043;SALON JEAN CHRISTIAN LAURENT;44510
007173289;00021;MONSIEUR JACQUES BRETESCHE;44130
007180326;00048;SERVICES ET INSTRUMENTS DE GEOPHYSIQUE;44130
007180359;00015;DIFFUSION T R;44600
007180516;00119;SOCIETE NAZAIRIENNE DE DEVELOPPEMENT;44600
007180516;00135;SONADEV;44600
007180532;00017;CENTRE AUTOMOBILE DE L'ETOILE;44600
007180532;00041;CENTRE AUTOMOBILE DE L'ETOILE;44350
007180532;00058;ETOILE AUTO 44;44500
007180680;00014;STE MASUY;44220
007190028;00022;GIE GROUP INTER COM ARTISANS BATIMENT;44360
007210156;00027;MONSIEUR GUY TERNOIS;80220
007210446;00022;MONSIEUR JEAN CLAUDE CHAVOT;62155
007210602;00012;L ETOILE DE MER;80120
007210602;00020;L ETOILE DE MER;80120
007210636;00028;MONSIEUR GUY DUFOSSE;80210
007211253;00021;PICARDIE GARAGE HAQUET;80100
007211279;00018;MONSIEUR JEAN LEFEBVRE;80580
007211337;00022;MONSIEUR PIERRE DREUILLET;80860
007220338;00011;SOCIETE VANNERIE CANDAS FRERES;80150
007220338;00037;VANNERIE DU BOISLE;80120
007240120;00019;MONSIEUR ROBERT LOVERA;04320
007240526;00033;MONSIEUR GERARD GRANGIER;04000
007240534;00029;MADAME YVETTE CHABOT;04140
007241003;00024;MONSIEUR FRANCOIS ESTEVE;04330
007241003;00032;MONSIEUR FRANCOIS ESTEVE;04330
007241060;00065;MONSIEUR RAYMOND ALDEGUER;04000
007241078;00026;BAR LE PALLADIO;04000
007241078;00034;MONSIEUR DANIEL JUGY;04000
007241342;00026;MONSIEUR CLAUDE TERRASSON;04270
007241417;00018;MONSIEUR GILBERT MAUVILLAN;04270
007241987;00028;MONSIEUR ANDRE DANIEL;04200
007241987;00036;MONSIEUR ANDRE DANIEL;04000
007242043;00029;HOTEL DES BERGERS;04400
007242043;00045;MADAME HENDRIKA SCHAEFFER;13600
007242266;00018;INDIVISION BARONIAN Y J C VUCUEL;04200
007242290;00059;COUP COUD SERVICES ARTS ET DECO;05000
007250053;00076;L M E TROUCHE HOLDING;04000
007250202;00020;ENTREPRISE PIERRE PESCE;04200
007250202;00046;ENTREPRISE PIERRE PESCE;04160
007250202;00053;ENTREPRISE PIERRE PESCE;04160
007270226;00033;MONSIEUR JEAN FREICHE;44130
007270507;00010;MONSIEUR PHILIPPE BAZIN;44500
007270929;00057;MONSIEUR ANDRE CONAN;44260
007271026;00036;EXPO BUREAU;44500
007271141;00041;POUR LOCATION MURS NUS;44600
007271646;00023;MADAME MONIQUE RIO;44420
007271646;00031;MADAME MONIQUE RIO;44420
007271745;00031;MONSIEUR GERARD LEMERLE;44490
007271745;00049;MONSIEUR GERARD LEMERLE;05330
007271778;00024;MONSIEUR PIERRE JACOB;44510
007271851;00029;ALLANIC MULTI SERVICES;44420
007272065;00017;MADAME GINETTE MAHE;44600
007272123;00014;MONSIEUR FREDERIC ORDRENNEAU;44600
007272289;00013;MONSIEUR JEAN GUILLARD;44220
007272420;00030;MONSIEUR JEAN CHEVALIER;44260
007272784;00013;MONSIEUR ANDRE POULARD;44160
007272941;00027;MONSIEUR JEAN NASLIN;44350
007273105;00028;MADAME PAULETTE MAHE;44000
007273303;00011;MONSIEUR JEAN AMISSE;44350
007280191;00037;VINOUZE;35600
007280217;00014;INTERMARCHE;44160
007280266;00011;GRPT ENSEIGNEMENT PUBLIC ET ASS LAIQUE;44600
007280308;00037;SARL POMMIER;44117
007280365;00094;DOM INTER ACTI NANTES ATLA;44860
007280365;00102;ATLAGEL;85000
007280365;00128;ATLAGEL;56000
007280373;00015;SUPER U;44600
007280456;00026;GINEAU PERE ET FILS;44600
007280472;00023;ETS ANEZO;44420
007280605;00010;CONVENANT S A;44360
007280639;00043;ARBUSTE;44400
007280803;00011;SOC SERALU PLAST;44500
007280803;00029;SOC SERALU PLAST;44500
007280852;00018;ALLARD INDUSTRIES;44600
007310147;00017;MADAME JEANINE PEPIN;80120
007310279;00034;MAIRIE DEE RATTACHEMENT;13110
007310519;00017;MONSIEUR RENE DELABRE;80210
007320039;00014;HENRI ETABLISSEMENTS CORNE;80150
007320047;00033;ETABLISSEMENTS RAUX;80100
007320112;00035;SARL AUBERT ET FILS;80120
007320161;00024;GARAGE DUPONT FRERES;80120
007320187;00029;ETABLISSEMENTS LAGRANGE;80100
007320211;00027;DOMAINE DE DIANE;80120
007320294;00023;GARAGE DU VIMEU;80210
007330012;00019;GIE D AILLY LE HAUT CLOCHER;80135
007340433;00023;INDIVISION CLAUDE BOISSERANC;04140
007340516;00017;LES TILLEULS;04250
007340904;00023;MADAME FERNANDE BOCK;04120
007340995;00021;SPORTS LOISIRS;04400
007341563;00018;CAFE RESTAURANT BAR DE LA PLACE LE;04120
007341563;00026;CAFE RESTAURANT BAR DE LA PLACE;04120
007341563;00034;HOTEL RESTAURANT LE PROVENCE;04120
007341670;00011;MADAME RENEE PICHE;04240
007341753;00023;CHRISTINE BOUTIQUE;04210
007341803;00034;MONSIEUR MICHEL JOUVE;04510
007341803;00042;MONSIEUR MICHEL JOUVE;04510
007341845;00035;MONSIEUR JEAN ROUX;04510
007341852;00023;LE NID D ABEILLES;04400
007342132;00037;MONSIEUR ETIENNE CIARAVINO;04200
007350077;00017;ETABLISSEMENTS BLANC ET FILS;04000
007350101;00031;HELIO PROJETS;34000
007350119;00082;SOVA AGRI;13450
007350135;00013;SARL LE BELVEDERE;04360
007350168;00014;SOCIETE FORESTIERE CALVI;04200
007350184;00029;SARL SOCIETE DE CONSTRUCTION DU BATIME;04140
007350200;00031;ENTREPRISE MINETTO;83170
007350200;00049;ENTREPRISE MINETTO;04200
007350200;00056;ENTREPRISE MINETTO;13510
007350333;00022;ART ET BIJOUX;04000
007370224;00029;MONSIEUR LOIC AMISSE;44350
007370224;00037;MONSIEUR LOIC AMISSE;44350
007370273;00018;MONSIEUR ALAIN DANET;44290
007370737;00046;MADAME MARTINE PAGEAUD;44350
007370802;00063;MONSIEUR BERNARD BOUGRO;56130
007371255;00022;COMMUNE DE RATTACHEMENT;17000
007371701;00041;RATTACHEMENT MAIRIE;44750
007371719;00027;MONSIEUR PAUL BURBAN;44600
007380017;00017;STATION NAUTIQUE DE KERCABELLEC;44420
007380041;00066;ROCHE VILAINE OCEAN;44350
007380215;00017;ETABLISSEMENTS POITEVIN PERE ET FILS S;44420
007380249;00024;PORNICHET DISTRIBUTION;44380
007380314;00034;WINDAL & KLEIN;44510
007380314;00042;WINDAL & KLEIN;44510
007380454;00012;VETEMENTS YVES;44220
007400104;00019;SOCIETE CIVILE AGRICOLE DU PARC;16100
007400765;00017;COPROPRIETAIRES;16000
007410087;00022;MONSIEUR ALAIN BROCQUEVIEILLE;80150
007410087;00048;MONSIEUR ALAIN BROCQUEVIEILLE;59000
007410251;00016;MONSIEUR FRANCOIS HERMANT;80135
007455306;00014;COPRO RES LES VOILIERS;17000
007455322;00011;COPRO TRIANON;17000
007455348;00016;CARNOT COPRO RES;17000
007455371;00018;COPRO RES DE VERTHAMON;17200
007458771;00016;COPRO RES ALSACE;17000
007538762;00019;DUCOUDERT CHRISTIANE;79000
007538770;00012;CHRISTIANE SYNDIC DUCOUDERT;79000
007663917;00016;GESTRIM GARAGES JULES NORIA;87000
007664758;00013;PIERRE DE LA GUERONNIERE;87000
007924038;00016;COPROPRIETE VEYSSET;19100
007924046;00019;COPROPRIETE FONTAINE BLEUE;19100
007924053;00015;COPROPRIETE GUIERLE;19100
007924087;00013;COPROPRIETE DELON;19100
007925837;00010;COPROPRIETE ROOSEVELT;19100
007926215;00018;COPROPRIETE PERRAULT;19100
007926520;00011;COPROPRIETE GRIVEL;19100
007926538;00013;COPROPRIETE LAFAYETTE;19100
007926546;00016;COPROPRIETE LYCEES;19100
007926553;00012;SYND DE COPROPRIETE REPUBLIQUE;19000
007926579;00017;COPROPRIETE TURGOT 2;19100
007926587;00010;COPROPRIETE CLOS SAULES;19100
007926603;00015;JACQUES PANIJEL;19600
007926611;00018;COPROPRIETE CHAMBORD;19100
007926637;00013;RAYMOND CLAUX;19100
007926660;00015;COPROPRIETE CLEMENCEAU;19000
007926678;00017;COPROPRIETE FONTAINE;19100
007926686;00010;COPROPRIETE PRIEUR;19100
007926736;00013;COPROPRIETE BRIVE PRESIDENC;19100
007926751;00012;COPROPRIETE DELON;19100
007926769;00014;COPROPRIETE BIZET;19100
007926777;00017;COPROPRIETE DESBRULYS;19100
007926785;00010;COPROPRIETE JOUVENEL N 26;19100
007926801;00015;COPROPRIETE POMPIDOU;19100
007926819;00017;COPROPRIETE ARSONVAL;19100
007926827;00010;COPROPRIETE KOENIG;19100
007926835;00013;VOLTAIRE COPROPRIETE;19100
007926843;00017;TURENNE COPROPRIETE;19100
007926850;00012;FLAUBERT COPROPRIETE;19100
007926868;00014;COPROPRIETE JOUVENEL N 20;19100
007926876;00017;COPROPRIETE JOUVENEL;19100
007926884;00011;FLAUBERT COPROPRIETE;19100
007926892;00014;BRUNE COPROPRIETE;19100
007927296;00017;COPROPRIETAIRES TURGOT;19200
007927346;00010;CARNOT COPROPRIETE;19200
007927353;00016;CLEMENCEAU COPROPRIETE;19200
007927429;00014;COPROPRIETE VIALLE N 9;19000
007927437;00017;COPROPRIETE ROYAL CORREZE;19100
007927445;00010;COPROPRIETE FOCH;19100
007927452;00016;COPROPRIETE MAZERIE;19000
007927486;00014;COPROPRIETE MAUREZIES;19100
007927494;00018;COPROPRIETE ESCUROL;19000
007927502;00018;COPROPRIETE MAMELON;19000
007927510;00011;COPROPRIETE VIDALIE;19000
007927544;00010;PROPRIETE CREDIT AGRICOLE;19000
007927551;00015;COPROPRIETE DE GAULLE;19000
007927577;00010;COPROPRIETE DUNANT;19000
007927585;00013;COPROPRIETE MERMOZ;19000
007927593;00017;MIE COPROPRIETE;19000
007927759;00014;EVECHE DE TULLE;19000
007927783;00014;COPROPRIETE VALETTE;19000
007928286;00017;COPROPRIETE ROSIERS;19100
007928427;00017;COPROPRIETE SAINT JACQUES;19000
007928435;00010;PROPRIETE LERUSTE;19000
007928443;00014;REGIONALE HLM DE LIMOGES;87000
007928500;00011;COPROPRIETE PERI 11;19000
007928567;00010;COPROPRIETE VIDALIN;19000
007928641;00013;COPROPRIETE GAMBETTA;19200
007928690;00010;MONTANA COPROPRIETE;19150
007928765;00010;COPROPRIETE JOUVENEL N 30;19100
008020018;00019;SOVIM COP CASTEL PHEBUS;87000
008020034;00016;SOVIM COP MANIGNE 8;87000
008020059;00013;MIDI IMM COP BELLEVUE;87000
008020067;00016;MIDI IMM 25 RUE J JAURES;87000
008020125;00012;GESTRIM SYNDICAT RES TENNI;87000
008020315;00019;COSTE BRUNO COP PEND JARI;87000
008020331;00016;COP BUGEAUD;87000
008020398;00015;SYNDIC COPROP LIMOUSIN F PERRIN;87000
008020406;00016;TOURNIEROUX COP LOUYAT 90;87100
008020471;00010;GESTRIM COP LE MICHAU;87100
008020489;00012;GESTRIM COP TROIS MAISONS;87000
008020497;00015;GESTRIM COP J D ARC;87000
008020505;00015;RESIDENCE LECONTE DE LISLE;87000
008020513;00019;COPROPRIETE LE MONTLHERY;87000
008020521;00012;GESTRIM COP RENOIR;87000
008020539;00014;GESTRIM COP DU STADE;87100
008020547;00017;GESTRIM COP DU THEATRE;87000
008020554;00013;GESTRIM COP F BUISSON 35;87000
008020562;00016;GESTRIM COP VANTEAUX 177;87000
008020570;00019;GESTRIM COP FRANCOIS;87100
008020596;00014;GESTRIM LIMOUSIN RESIDENCE LES JACINTH;87000
008020604;00016;COP IMM NORIAC BEAUDELAIRE;87000
008020612;00019;COP RES ISLE;87170
008020620;00012;GESTRIM LIMOUSIN RES LA CORNICHE;87000
008020638;00014;GESTRIM LIMOUSIN RESIDENCE ANTONY;87000
008020646;00017;VRANCKX COP CORGNAC 67;87100
008020661;00016;SYNDIC COPROP EDOUARD VAILLANT;87000
008020687;00011;CO IMM BRIAND MALESHERBES;87100
008020695;00014;SYNDICAT DES COPROPRIETAIRES;87000
008020703;00016;GESTRIM LIMOUSIN COPROPRIETE DU BESSOL;87100
008020711;00019;1 3 RUE DES FELINES;87100
008020729;00011;SYND GESTRIM COP COUTURES 8;87000
008020737;00014;COP IMM PERRIN NADAUD;87000
008020745;00017;GESTRIM LIMOUSIN COP 49 R DES PAPILLON;87100
008020752;00013;GESTRIM COP 3 ET 5 RUE VOCHAVE;87000
008020760;00016;GESTRIM LIMOUSIN COPPROP 10 R F CHENIE;87000
008020778;00018;VRANCKX COP A DUTREIX 137;87000
008020786;00011;UFFI COP RUCHAUD;87000
008020802;00016;GESTRIM LIMOUSIN RES LIMOGES ETOILE;87000
008020810;00019;GESTRIM LIMOUSIN COPROP CORGNAC II;87100
008020828;00011;VRANCKX COP F PERRIN 81;87000
008020836;00014;CO IMM EDOUARD VAILLANT;87000
008020844;00018;SYND GESTRIM COP GARIBALDI 53;87000
008020851;00013;GESTRIM LIMOUSIN COPROP 19 R JEAN JAUR;87000
008020869;00015;VRANCKX COP A DUTREIX 35;87000
008020877;00018;SYND COPROPRIETAIRES 44 RUE CHATEAUROU;87100
008020885;00011;GESTRIM LIMOUSIN RESIDENCE P BROSSOLET;87000
008020893;00015;COP 11 RUE PAUL BERT;87000
008020968;00015;GESTRIM COP JAURES GUESDE;87000
008020992;00015;UFFI LIMOGES;87000
008021008;00019;UFFI COP VIENNE ST MARTIAL;87000
008021057;00016;SOVIM COP F VILLON;87000
008021065;00019;SOVIM COP GIRAUDOUX;87000
008021107;00019;UFFI COP BREMONTIER 7;87000
008021206;00019;VRANCKX COP ST MARTIAL 71B;87000
008021289;00015;GESTRIM COP GAMBETTA 40;87000
008021297;00018;GESTRIM LIMOUSIN RESIDENCE LA BORIE;87100
008021305;00019;CO IMM EDISON VENTADOUR;87000
008021347;00011;GESTRIM POUR LA RLF;87100
008021354;00017;GESTRIM COP F PERRIN 96;87000
008021362;00010;GESTRIM COP DES ARTS 3;87100
008021370;00013;GESTRIM COP GAM VIGNE 18;87000
008021396;00018;GESTRIM COP FRESNEL 22;87000
008021404;00010;GESTRIM COP CHARENTES 1;87100
008021412;00013;GESTRIM COP A TARRADE 17;87100
008021420;00016;GESTRIM COP E MICHAUD 15;87100
008021438;00018;COPROPRIETE MONTMAILLER 62 64;87000
008021446;00011;GESTRIM COP A DUTREIX 251;87000
008021453;00017;GESTRIM IMM RES LESAGE BER;87000
008021461;00010;GESTRIM COP T BAC 93;87100
008021479;00012;GESTRIM COP J J ROUSSEAU;87000
008021487;00015;GESTRIM COP A DE VIGNY 8;87100
008021495;00018;GESTRIM COP GAY LUSSAC 12;87000
008021503;00019;SDC ELISEE RECLUS;87000
008021511;00012;GESTRIM COP BEAUPUY 10B;87100
008021529;00014;GESTRIM COP RESIDENCE;87100
008021537;00017;GESTRIM COP LE SIEGFRIED;87000
008021545;00010;GESTRIM COP ST ANDRE 27;87000
008021560;00019;GESTRIM COP LA FONDERIE 2;87000
008021586;00014;GESTRIM COP A BAUDIN 81;87000
008021594;00018;GESTRIM COP GAI VERTHAMONT;87000
008021602;00019;GESTRIM COP J NORIAC 13;87000
008021610;00012;GESTRIM COP VOLTAIRE;87100
008021628;00014;GESTRIM COP MONMEILLANT 3;87000
008021636;00017;GESTRIM COP MONTALEMBERT;87000
008021644;00011;GESTRIM COP P CURIE;87000
008021651;00016;GESTRIM COP GRAND TILLEUL;87000
008021669;00018;GESTRIM COP A TARRADE 35;87100
008021677;00011;COPROPRIETE PERICHON BEY;87100
008021685;00014;GESTRIM COP DU MIDI 18;87000
008021693;00018;GESTRIM COP RUBEN NAZARET;87000
008021701;00019;GESTRIM COP MEISSONNIER 1;87000
008021719;00011;GESTRIM COP CLAIRE RAMADIE;87000
008021727;00014;GESTRIM COP G DUMAS 33;87000
008021735;00017;GESTRIM COP INGRES MONTEGU;87000
008021750;00016;GESTRIM COP F BUISSON 7;87000
008021776;00011;GESTRIM COP ROUSSILLON;87000
008021784;00015;GESTRIM COP V HUGO 5;87000
008021792;00018;GESTRIM COP CHINCHAUVAUD;87100
008021818;00011;GESTRIM COP LEMOINE 34;87100
008021826;00014;GESTRIM COP BENEDICTINS 27;87000
008021834;00018;GESTRIM COP LA SORRENTINE;87000
008021859;00015;GESTRIM COP DUT COULANGES;87000
008021867;00018;GESTRIM IMM F PERRIN 97;87000
008021875;00011;GESTRIM COP LE COLOMBIER;87000
008021883;00015;GESTRIM COP BAUDIN 58;87000
008021891;00018;GESTRIM COP J JAURES 3;87000
008021909;00018;GESTRIM COP JEAN JAURES 5;87000
008021917;00011;GESTRIM COP IMM FRESNEL 2;87000
008021925;00014;GESTRIM COP FOURIE 18;87000
008021933;00018;GESTRIM ZUP AURENCE B8 9;87100
008021941;00011;GESTRIM COP MONTJOVIS 6;87100
008022113;00016;UFFI RES MARC ANTOINE MURET;87100
008022139;00011;UFFI COP MONTJOVIS MURET;87100
008022147;00014;UFFI COP TUILIERES 39;87100
008022162;00013;COP 73 RUE D ANTONY;87000
008022188;00018;UFFI COP A BARBES 15;87100
008022196;00011;UFFI COP NAUGEAT P CURIE;87000
008022204;00013;UFFI RES AV DU MIDI 12;87000
008022246;00014;UFFI RES NEXON SOLIGNAC;87000
008022279;00015;UFFI COP BUISSON 25 THOMAS;87000
008022287;00018;UFFI COP FERDINAND BUISSON;87000
008022311;00016;UFFI RES V SARDOU GR5;87000
008022329;00018;UFFI RES VICTORIEN SARDOU;87000
008022352;00010;UFFI RES V SARDOU GR9;87000
008022386;00018;UFFI RES DUMONT DE LATTRE;87000
008022394;00012;UFFI COP HYACINTHE FAURE 26;87100
008022428;00018;UFFI RES ARGENTIERS PIERRE;87000
008022436;00011;UFFI RES LE LYCEE;87000
008022444;00015;UFFI COP PETIT TREUIL 44;87100
008022451;00010;UFFI COP RUE HOCHE;87100
008022469;00012;UFFI COP RUE INGRES 24;87000
008022477;00015;UFFI COP BARBES 13;87100
008022485;00018;UFFI COP GAMBETTA 32;87000
008022501;00012;UFFI COP JEAN JAURES;87000
008022519;00014;UFFI RES PIERRE SEMARD;87000
008022535;00010;UFFI COP COURS BUGEAUD;87000
008022550;00019;UFFI RES CURIE ST SAENS 24;87000
008022568;00011;UFFI COP GEORGES DUMAS;87000
008022576;00014;UFFI COP PDT RAMADIER;87000
008022584;00018;UFFI RES DES CASSEAUX;87000
008022592;00011;UFFI COP JEAN JAURES 9;87000
008022600;00012;UFFI COP IMM AINE1 DARNET15;87000
008022618;00014;UFFI COP LOUIS BLANC 4;87000
008022634;00011;UFFI COP DU CHINCHAUVAUD 3;87100
008022667;00011;UFFI RES LE COLLEGE;87000
008022675;00014;UFFI RES LES PALMIERS;87100
008022683;00018;UFFI COP THEODORE BAC;87100
008022709;00011;UFFI RES CASSEAUX BOUGAINVI;87000
008022717;00014;RESIDENCE COUDAMY;87500
008022725;00017;UFFI COP GAMBETTA;87000
008022733;00011;UFFI COP BUISSON BROSSOLLET;87000
008022741;00014;UFFI RES LA ROSE DES VENTS;87100
008022758;00018;UFFI COP LA ROSE DES VENTS1;87100
008022774;00015;UFFI RES LECLERC MISTRAL;87100
008022782;00018;UFFI SCI J NORIAC 32;87000
008022824;00018;GESTRIM COP CLAIREFONTAINE;87000
008022857;00018;SDC JULES VALLES;87000
008022865;00011;UFFI COP LE CONSUL;87000
008022931;00011;RESIDENCE LES VIGNES;87000
008023129;00011;UFFI COP HAUTE CITE 2;87000
008023137;00014;UFFI COP HAUTE CITE 9;87000
008023160;00016;VRANCKX COP MONTMAILLER 97;87000
008023228;00011;GESTRIM COP AMPHITHE 16;87000
008023244;00018;UFFI COP VANTEAUX;87000
008023285;00011;GESTRIM COP BENEDICTINS;87000
008023293;00015;GESTRIM COP LE MERIDIEN;87000
008023319;00018;SYND COP LES DEUX TOURS;87000
008023327;00011;SOVIM COP CLOS ADRIEN;87000
008023376;00018;GESTRIM COP CITE 16;87000
008023459;00012;VRANCKX COP DUTREIX 4;87000
008023467;00015;COSTE BRUNO COP J D ARC 52;87000
008023483;00012;MICHELINE RAMPIN;87000
008023491;00015;GESTRIM COP VENASSIER 6;87100
008023509;00014;GESTRIM COP TERRASSE 4;87000
008023566;00014;UFFI COP HAUTE CITE;87000
008023624;00011;CLEMENCEAU MIDI IMM COP;87100
008023640;00017;UFFI RES V SARDOU GR1 F3;87000
008023699;00013;GESTRIM COP VAURIOL 26;87100
008023731;00014;VRANCKX COP DE GAULLE;87000
008023764;00015;GESTRIM COP OFFENBACH;87000
008023772;00018;GESTRIM COP T BAC;87100
008023806;00014;GESTRIM COP LA TERRASSE 3;87000
008023814;00018;SOVIM COP GENEVE 20;87100
008023855;00011;GESTRIM COP AMPHITHEATRE 8;87000
008023954;00012;GESTRIM SYNDICAT IMMEUBLE;87000
008023962;00015;UFFI COP NICOLAS LA REYNIE;87000
008023988;00010;COSTE BRUNO COP MONTJOVIS;87100
008024010;00012;GESTRIM COP LA VIENNE;87000
008024044;00011;SOVIM COP DERIGNAC;87000
008024051;00016;GESTRIM COP CH DE JUILLET;87000
008024077;00011;COP SABLARD 110;87000
008024101;00019;GESTRIM RES L AURENCE BAT;87100
008024135;00017;JEAN COUDERC;87000
008024242;00011;GESTRIM COP TIMBAUD 6;87000
008024275;00011;RAYMOND COP PERRIN 124;87000
008024317;00011;COP IMM BROSSOLETTE;87000
008024408;00018;GESTRIM COP J JAURES 2;87000
008024416;00011;GESTRIM COP CHINCHAUVAUD 1;87100
008024424;00015;GESTRIM COP HTS BEL AIR;87000
008024465;00018;MIDI IMM COP 39 RUE HOCHE;87100
008024481;00015;GESTRIM LIMOUS RESIDENCE LES CASSEAUX;87000
008024499;00017;VRANCKX COP DUTREIX 87;87000
008024507;00017;HENRI ROMECKI;87000
008024580;00014;GESTRIM RUE DE CHATEAUROUX;87100
008024598;00016;GESTRIM COP BRANTOME 25;87100
008024648;00019;GESTRIM COP ST MAURICE;87000
008024655;00014;SYND COPROPRIETAIRES 12 AVENUE TURENNE;87100
008024663;00018;SOVIM COP CRUCHE D OR 9;87000
008024671;00011;GESTRIM COP GAMBETTA;87000
008024689;00013;GESTRIM IMMEUBLE MADOUMIER;87100
008024713;00011;MIDI IMM AV TURENNE 12;87100
008024739;00016;RESIDENCE LA COLLEGIALE;87210
008024747;00019;GESTRIM COP ENCOMBE VINEUSE;87100
008024762;00018;MIDI IMM COOPERATEURS 13;87000
008024770;00011;RESIDENCE FONTAINE VANTEAUX;87000
008024788;00013;GESTRIM COP CHANTELAUVE 41;87000
008024796;00016;GESTRIM COP M BASTIER 2;87100
008024812;00011;SOVIM COP SQU VANTEAUX;87000
008024887;00013;VRANCKX COP BUISSON;87000
008024960;00018;SOVIM COP GENEVE 8;87000
008025009;00013;RESIDENCE LE PARC;87100
008025041;00016;REGAUDIE COP MOUSTIER;87500
008025066;00013;COSTE BRUNO COP DEVERINE;87000
008025108;00013;VRANCKX COP J GUESDE 5;87000
008025116;00016;SOVIM COP BARBES 7;87100
008025124;00010;GESTRIM COP 3 RUE DE NAZARETH;87000
008025165;00013;GESTRIM COP RECOLLETS 14;87000
008025223;00010;GESTRIM COP J JAURES 1;87000
008025249;00015;COPROPRIETE LE CHOISEUL;87000
008025256;00010;GESTRIM IMM GAMBETTA 6 8;87000
008025272;00017;GESTRIM COP DE BELFORT 14;87100
008025306;00013;SOVIM COP DES GEMEAUX;87100
008025314;00017;MIDI IMM COP DERIGNAC 9;87000
008025322;00010;UFFI COP PAUL THOMAS 8 10;87000
008025330;00013;MIDI IMM COP DES BANCS 16;87000
008025363;00014;GESTRIM COP P ASTIER 1;87000
008025397;00012;COSTE BRUNO COP ELYSEE 6;87100
008025413;00017;COSTE BRUNO COP D ALEMBERT;87100
008025439;00012;COSTE BRUNO COP VAL VIENNE;87350
008025470;00017;GESTRIM COP A TARRADE 1;87100
008025488;00019;GESTRIM COP RUCHOUX 119;87100
008025520;00019;SYMPHONIE MIDI IMM COP;87000
008025595;00011;SYND COPROPRIETE IMMEUBLE DU SABLARD;87000
008025629;00018;ANDRE FILLOUX;87000
008025710;00016;GESTRIM COP DU TEMPLE 15;87000
008025744;00015;MICHELE JOUPPE;87000
008025769;00012;GESTRIM SYNDICAT IMM CLOS;87000
008025793;00012;MONIQUE JOUHAUD;87000
008025819;00015;GUY NEANT;87100
008025835;00011;GESTRIM COP TASSIGNY 83;87000
008025900;00013;SOVIM COP MONTMAILLER 63;87000
008025959;00019;MIDI IMM COP CLAIRETTES;87000
008026007;00016;GESTRIM COP GARIBALDI 5B;87000
008026015;00019;GESTRIM COP DU TEMPLE 5;87000
008026023;00013;ANNIE BREARD;87000
008026031;00016;UFFI COP J NORIAC 47;87000
008026049;00018;MIDI IMM COP LEONARD LIMOS;87000
008026056;00013;MIDI IMM COP ST PAUL 10;87000
008026080;00013;MICHEL MASSICOT;87100
008026114;00010;VRANCKX COP BAUDIN 99;87000
008026163;00017;COP 14 RUE FRANCOIS CHENIEUX;87000
008026189;00012;GESTRIM RESIDENCE JARDINS;87000
008026197;00015;MIDI IMMOBILIER ST MARTIAL;87000
008026262;00017;DOMINIQUE SCIGLIANO;87000
008026288;00012;BOUQUILLARD;87000
008026312;00010;LEOBON RAYMOND;87100
008026346;00018;R PAGNON;87000
008026361;00017;ERNEST SAUVAGEOT;87000
008026379;00019;HENRI VALADE;87000
008026429;00012;GESTRIM LA ROCHE;87000
008026437;00015;GESTRIM IMM REPUBLIQUE;87000
008026445;00018;GESTRIM J B BLANC;87100
008026452;00014;GESTRIM CC CORGNAC;87100
008026486;00012;COP CARREFOUR BEAUPEYRAT;87000
008104580;00017;UFFI COP LAVOISIER;87000
008104606;00010;COSTE BRUNO COP F PERRIN 99;87000
008108847;00016;MIDI IMM COP QUINET SARDOU;87000
008108854;00012;MIDI IMM COP E VAILLANT;87000
008108862;00015;MIDI IMM COP L ETRIER;87000
008118176;00018;GESTRIM COP JARDINS STE CLA;87000
008119232;00018;BERNADETTE PRIEUR;87000
008119240;00011;PRO GEST IMM COP D DUSSOUBS;87000
008119414;00012;SOVIM COP DES ALLOIS;87000
008119430;00018;SOVIM COP DE LA CITE;87000
008121741;00014;COSTE BRUNO COP NAZARETH;87000
008121766;00011;CASSIN COP POIDS PUBLICS;87000
008121865;00011;MAUD PAROT;87000
008122418;00018;GESTRIM COP 17 B ST BENOIT;87000
008122426;00011;GESTRIM COP LE TURGOT;87000
