SIREN;NIC;L1_NORMALISEE;CODPOS
005781133;00052;TAA TERMINAL AGRO ALIMENTAIRE;44550
005781133;00060;IDEA GROUPE;44600
005811179;00018;MONSIEUR RENE BOYAVAL;80100
005820030;00038;LE PONTHIEU AUTOMOBILE;80220
005820030;00046;LE PONTHIEU AUTOMOBILE;80100
005820030;00061;LE PONTHIEU AUTOMOBILE;80450
005820030;00079;LE PONTHIEU AUTOMOBILE;80130
005820378;00031;DEMOUSELLE;80100
005820378;00122;DEMOUSELLE;02200
005820378;00213;DEMOUSELLE;60800
005820378;00221;ACTEMIUM;76370
005820378;00239;DEMOUSELLE;80100
005820378;00247;DEMOUSELLE;80100
005820428;00018;SOCIETE ANONYME DUCROCQ ET COMPAGNIE;80150
005820477;00015;ETABLISSEMENTS RAOUL DAVERGNE;80210
005850011;00015;ALP ENTREPRISE MACONNERIE;04140
005870027;00017;HOTEL LA CONCORDE;44500
005870779;00021;MONSIEUR JEAN DOUCET;44000
005870787;00016;MADAME FRANCINE JAN;44490
005872692;00032;MONSIEUR JEAN BUINO;44500
005872908;00040;MONSIEUR RAYMOND JULIEN;44500
005873096;00019;MONSIEUR GILBERT BONHOMMEAU;44600
005873450;00018;LE NEPTUNE;44510
005873450;00026;LES FARFADETS;44510
005877972;00025;MONSIEUR MARCEL OLIVIER;44510
005880596;00027;GEDIMO HOLDING;44460
005880679;00013;SA COOP INTER COLL ACCES PROP ST NAZ;44600
005880679;00039;SA COOP INTER COLL ACCES PROP ST NAZ;44100
005880737;00019;ETABLISSEMENTS PITARD FRERES;44600
005900501;00023;MADAME JEANNE DILHUIDY;44500
005901657;00014;MONSIEUR GILBERT PHILIPPE;44290
005910278;00018;MADAME GERMAINE VANDERPOOTEN;80510
005911284;00015;MONSIEUR CLAUDE JOUY;80100
005912209;00011;MONSIEUR RENE WERLE;80100
005914999;00015;INDIVISION DELECOURT;80100
005920194;00015;SARL BEAUVISAGE TOULLET;80150
005920194;00023;SARL BEAUVISAGE TOULLET;80860
005920194;00031;P A M M;80420
005940416;00026;MONSIEUR HUBERT SILVI;04700
005942016;00014;MONSIEUR JEAN CERATO;04170
005942875;00013;LA TAVERNE;04400
005944103;00026;MADAME GERMAINE IMBERT;04200
005950134;00030;SARL ETABLISSEMENTS JULIEN ET VERAND;04200
005950159;00029;SOCIETE BARNEAUD ET GIRAUD;04000
005976048;00024;MONSIEUR ANDRE PERRAULT;44500
005976048;00032;MONSIEUR ANDRE PERRAULT;66420
005979737;00011;INDIVISION LE BLOHIC;44490
005980016;00025;S N M;44550
005980461;00023;ENTREPRISE JUDIC;44260
005980461;00031;ENTREPRISE JUDIC;44570
006002216;00015;MONSIEUR REMOND FRETAUD;44260
006002216;00023;MONSIEUR REMOND FRETAUD;56760
006004238;00017;MONSIEUR JEAN COUERON;44130
006012611;00015;MONSIEUR MARCEL CALIPPE;80132
006013387;00029;MONSIEUR EMILE ETIENNE;80120
006013742;00017;INDIVISION GEORGES FLICOT;80870
006014724;00022;MONSIEUR GERARD THUILLIER;80120
006020135;00031;TERNOIS FONDERIE;80570
006020135;00049;TERNOIS FONDERIE;80570
006040034;00016;LA RENARDIERE;04530
006040034;00024;LA RENARDIERE;04000
006040455;00021;MONSIEUR JEAN MARTEL;04800
006040828;00011;CASTELLANE GARAGE;04120
006041099;00018;AUBERGE BON ACCUEIL;04120
006041099;00034;MONSIEUR ANDRE TARDIEU;04120
006044093;00018;MONSIEUR JACQUES DAVID;04210
006044531;00017;MONSIEUR ROGER LANDO;04400
006044564;00034;MONSIEUR CHRISTIAN CHALLIER;04400
006044564;00042;MONSIEUR CHRISTIAN CHALLIER;04400
006050074;00027;SEM ETUDES AMENA TOURI INDUST SPORT;04400
006050108;00023;BLANC FRERES ET COMPAGNIE;04200
006050116;00018;SOCIETE AGRICOLE A BLANCHET;04210
006074991;00016;MONSIEUR JEAN PERRIO;44500
006076434;00023;ETABLISSEMENTS PIED ET PERRAUD;44380
006079206;00014;MADAME NICOLE CLENET;44510
006080014;00068;OUEST EUROPEENNE PARTICIP PLAC PROMO;75017
006080170;00043;COOP BREIZH;75014
006080170;00076;LIBRAIRIE COOP BREIZH;56100
006080170;00084;COOP BREIZH;29540
006080170;00092;COOP BREIZH;29000
006120042;00038;LA PRESSE A LEMAIRE ET FILS;80132
006120109;00050;DONALD;80000
006140032;00019;MONSIEUR ANDRE NEVIERE;04210
006140032;00035;MONSIEUR ANDRE NEVIERE;04210
006140750;00016;MONSIEUR HENRI BOMBANA;04500
006141303;00047;JARDINERIE TESTON ANDRE;04190
006141303;00062;MONSIEUR ANDRE TESTON;04100
006141386;00018;MONSIEUR GEORGES SERRAILLER;04360
006141535;00010;MONSIEUR GILLES DARRIOULAT;04400
006141790;00045;MONSIEUR JEAN REPAUX;83520
006150072;00012;EXPLOIT REMONTEE MECANIQ SAUZE;04400
006150106;00018;L OURSON;04400
006150106;00026;L OURSON;04800
006150148;00010;LE DAHUT;04260
006172324;00029;MONSIEUR LUCIEN RIALLAND;74920
006177430;00029;MONSIEUR HENRI PEROUZE;44130
006179451;00015;MONSIEUR ROGER LECOQ;44460
006180301;00019;SOCIETE FINANCIERE ATLANTIC;44600
006210041;00015;MONSIEUR PIERRE BOINET;80132
006220065;00038;ENTREPRISES OSCAR SAVREUX;80550
006240196;00029;MONSIEUR JEAN MERLE;04400
006240196;00037;MONSIEUR JEAN MERLE;04400
006241616;00017;MONSIEUR JHOSEPH DALMASSY;04170
006241657;00011;MADAME LUCIENNE COLLOMP;04330
006250104;00012;SICA DES PAVE CONDITIONN FRUIT;04160
006270078;00014;MONSIEUR MARCEL GOIZET;44130
006270078;00022;MONSIEUR MARCEL GOIZET;44380
006270383;00018;MADAME THERESE DON;44260
